Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),TRSP(%),TFPS(Hz),RRSP(%),TPWR(dBm),Ptch(rad),Roll(rad),Yaw(rad),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,VSpd(m/s),RxBt(V),Curr(A),Capa(mAh),Bat%(%),FM,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2023-03-21,17:24:24.170,32,0,100,0,1,19,10,41,100,13,100,20,100,10,0.03,-0.01,-0.16,44.262282 -71.443167,0.4,-30.47,535,9,0.0,15.8,0.5,10,99,"FBWA",-2,1,-1024,5,-712,-1024,1,0,0,0,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,1479,1480,886,1479,2012,988,988,1091,988,988,988,988,1500,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2023-03-21,17:24:25.090,32,0,100,0,1,19,10,41,100,14,100,20,100,10,0.03,0.00,-0.16,44.262281 -71.443165,0.1,-30.48,534,9,0.1,15.8,0.5,10,99,"FBWA",-1,1,-1024,7,-712,-1024,1,0,0,0,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,1481,1480,886,1479,2012,988,988,1091,988,988,988,988,1500,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2023-03-21,17:24:26.090,32,0,100,0,1,19,10,46,100,13,100,20,100,10,0.03,0.00,-0.16,44.262280 -71.443164,0.3,-30.48,535,9,0.1,15.8,0.5,11,99,"FBWA",-2,1,-1024,5,-712,-1024,1,0,0,0,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,1479,1480,886,1479,2012,988,988,1091,988,988,988,988,1500,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2023-03-21,17:24:27.090,32,0,100,0,1,19,10,46,100,13,100,20,100,10,0.03,0.00,-0.16,44.262279 -71.443162,0.0,-30.49,534,9,-0.1,15.8,0.5,11,99,"FBWA",-2,1,-1024,5,-712,-1024,1,0,0,0,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,1479,1480,886,1479,2012,988,988,1091,988,988,988,988,1500,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2023-03-21,17:24:28.090,31,0,100,0,1,19,10,46,100,13,100,20,100,10,0.03,0.00,-0.16,44.262280 -71.443161,0.0,-30.49,535,9,0.0,15.8,0.5,11,99,"FBWA",-2,1,-1024,5,-712,-1024,1,0,0,0,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,1479,1480,886,1479,2012,988,988,1091,988,988,988,988,1500,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2023-03-21,17:24:29.090,32,0,100,0,1,19,10,45,100,13,100,20,100,10,0.03,0.00,-0.16,44.262280 -71.443161,0.1,-30.49,534,9,0.0,15.8,0.8,11,99,"FBWA",-2,1,-1024,5,-712,-1024,1,0,0,0,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,1479,1480,886,1479,2012,988,988,1091,988,988,988,988,1500,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2023-03-21,17:24:30.090,32,0,100,0,1,19,10,43,100,13,100,20,100,10,0.03,0.00,-0.16,44.262279 -71.443160,0.2,-30.50,534,9,0.0,15.8,0.5,11,99,"FBWA",-1,1,-1024,5,-712,-1024,1,0,0,0,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,1479,1480,886,1479,2012,988,988,1091,988,988,988,988,1500,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2023-03-21,17:24:31.090,33,0,100,0,1,19,10,44,100,14,100,20,100,10,0.03,0.00,-0.16,44.262279 -71.443159,0.2,-30.50,534,9,0.1,15.8,0.5,11,99,"FBWA",-1,1,-1024,5,-712,-1024,1,0,0,0,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,1479,1480,886,1479,2012,988,988,1091,988,988,988,988,1500,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2023-03-21,17:24:32.090,31,0,100,0,1,19,10,49,100,13,100,20,100,10,0.03,0.00,-0.17,44.262279 -71.443158,0.1,-30.51,534,9,0.0,15.8,0.5,12,99,"FBWA",-1,1,-1024,5,-712,-1024,1,0,0,0,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,1479,1480,886,1479,2012,988,988,1091,988,988,988,988,1500,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
2023-03-21,17:24:33.090,32,0,100,0,1,19,10,49,100,14,100,20,100,10,0.03,0.00,-0.17,44.262279 -71.443158,0.1,-30.51,534,9,0.2,15.8,0.5,12,99,"FBWA",-2,1,-1024,7,-712,-1024,1,0,0,0,0,1024,1024,-1,-1,-1,-1,-1,-1,-1,-1,0x0000000000000001,1481,1480,886,1479,2012,988,988,1091,988,988,988,988,1500,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.3
