Date,Time,1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),TRSP(%),TFPS(Hz),RRSP(%),TPWR(dBm),Ptch(rad),Roll(rad),Yaw(rad),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,VSpd(m/s),RxBt(V),Curr(A),Capa(mAh),Bat%(%),FM,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,EX3,EX4,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V),GPS_LAT,GPS_LON,HOME_GPS_LAT,HOME_GPS_LON,HOME_DIST,HOME_Alt(m),Rel_Alt(m)
2023-05-08,07:29:09.990,-49,0,100,0,1,31,10,-54,100,13,93,30,100,10,0.45,0.11,2.73,44.332821 -71.566733,48.0,156.54,382,14,7.1,16.0,39.4,55,99,AUTO,-5,1,-1024,5,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,1,0,-1,0x0000000000000001,1479,1480,886,1477,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5,44.332821,-71.566733,44.33319,-71.566964,44.95667851315091,372.0,10.0
2023-05-08,07:29:10.990,-50,0,100,0,1,31,10,-56,96,12,90,30,100,10,0.45,0.19,2.77,44.332673 -71.566653,48.6,159.47,390,14,7.7,16.0,38.2,65,99,AUTO,-4,1,-1024,4,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,1,0,-1,0x0000000000000001,1479,1480,886,1478,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5,44.332673,-71.566653,44.33319,-71.566964,62.583629921824006,372.0,18.0
2023-05-08,07:29:11.990,-54,0,100,0,1,31,10,-58,100,13,87,30,93,10,0.42,-0.01,2.87,44.332514 -71.566579,51.6,164.81,397,14,7.3,16.0,37.2,76,99,AUTO,-4,2,-1024,4,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,1,0,-1,0x0000000000000001,1479,1481,886,1478,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5,44.332514,-71.566579,44.33319,-71.566964,81.16576656280147,372.0,25.0
2023-05-08,07:29:12.990,-57,0,100,0,1,31,10,-61,100,14,81,30,88,10,0.4,0.0,2.86,44.332350 -71.566503,52.6,164.54,405,14,7.9,16.0,36.4,86,98,AUTO,-4,1,-1024,4,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,1,0,-1,0x0000000000000001,1479,1480,886,1478,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5,44.33235,-71.566503,44.33319,-71.566964,100.34288093478976,372.0,33.0
2023-05-08,07:29:13.990,-56,0,100,0,1,31,10,-63,100,13,78,30,90,10,0.36,0.02,2.88,44.332184 -71.566423,54.3,162.75,412,14,6.2,16.0,35.9,96,98,AUTO,-5,1,-1024,4,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,1,0,-1,0x0000000000000001,1479,1480,886,1477,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5,44.332184,-71.566423,44.33319,-71.566964,119.85270867089643,372.0,40.0
2023-05-08,07:29:14.990,-58,0,100,0,1,31,10,-62,100,13,80,30,87,10,0.38,-0.07,2.87,44.332010 -71.566339,55.6,164.71,419,14,6.0,16.3,14.6,103,98,AUTO,-5,1,-1024,5,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,1,0,-1,0x0000000000000001,1479,1480,886,1477,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5,44.33201,-71.566339,44.33319,-71.566964,140.31117692031896,372.0,47.0
2023-05-08,07:29:15.990,-58,0,100,0,1,31,10,-64,100,12,76,30,87,10,0.11,0.0,2.84,44.331856 -71.566254,48.9,163.28,424,14,2.5,16.5,3.6,105,98,AUTO,-5,1,-1024,5,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,1,0,-1,0x0000000000000001,1479,1480,886,1477,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5,44.331856,-71.566254,44.33319,-71.566964,158.71992293817695,372.0,52.0
2023-05-08,07:29:16.990,-60,0,100,0,1,31,10,-64,93,13,76,30,85,10,0.09,-0.03,2.8,44.331703 -71.566165,52.1,160.84,425,14,0.2,16.2,24.2,109,98,AUTO,-5,1,-1024,4,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,1,0,-1,0x0000000000000001,1479,1480,886,1477,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5,44.331703,-71.566165,44.33319,-71.566964,177.13902688576044,372.0,53.0
2023-05-08,07:29:17.990,-60,0,100,0,1,31,10,-66,100,13,73,30,83,10,0.2,0.02,2.77,44.331529 -71.566059,59.5,159.11,427,14,3.0,16.1,30.9,117,98,AUTO,-5,2,-1024,4,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,1,0,-1,0x0000000000000001,1479,1481,886,1477,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5,44.331529,-71.566059,44.33319,-71.566964,198.22585639638962,372.0,55.0
2023-05-08,07:29:18.990,-62,0,100,0,1,31,10,-67,100,12,71,30,80,10,0.21,0.02,2.8,44.331340 -71.565943,63.2,157.15,431,14,4.3,16.1,28.7,125,98,AUTO,-4,1,-1024,5,-1024,-1024,-19,0,0,0,0,1024,1024,-1,0,-1,-1,-1,1,0,-1,0x0000000000000001,1479,1480,886,1478,2012,988,988,1705,886,988,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.5,44.33134,-71.565943,44.33319,-71.566964,221.1596422888792,372.0,59.0
